ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
1.5350469,-59.0875433,10853r032-000472,14.433,0.066,10,58784.68808843,0.418674,106.638801
1.5349370,-59.0876127,49088a207-000338,14.075,0.058,10,56800.35029529,0.419350,151.842706
1.5349815,-59.0875972,05856r198-000496,14.460,0.063,10,58621.26849672,0.420778,138.249786
1.5349649,-59.0876065,82392a199-000406,13.862,0.060,10,57892.72924645,0.427703,144.315894
1.5350087,-59.0874335,50626r221-000492,14.504,0.067,10,60083.36132144,0.430203,50.195533
1.5345965,-59.0875133,54506a066-000346,13.998,0.052,10,56978.55211714,0.432000,268.424080
1.5346342,-59.0874395,05846r222-000490,14.377,0.065,10,58620.94136578,0.442201,305.025689
1.5350613,-59.0875496,10839r056-000411,14.347,0.061,10,58784.23018172,0.450896,108.431390
1.5350703,-59.0874847,39374r222-000382,14.094,0.061,10,59716.89765238,0.453653,78.418111
1.5345997,-59.0874488,33241r031-000513,14.181,0.070,10,59516.59288584,0.479529,297.351411
1.5350685,-59.0875653,50646r220-000390,14.394,0.062,10,60084.01048998,0.483931,114.291653
1.5350710,-59.0874567,49069b233-000312,13.997,0.049,10,56799.75817507,0.485257,66.708073
1.5350808,-59.0875499,93498a222-000854,14.255,0.076,10,58256.22648464,0.485568,107.206777
1.5349668,-59.0876261,48988a211-000345,14.045,0.060,10,56797.06027427,0.488565,148.812607
1.5349541,-59.0876369,55681r031-000433,14.455,0.067,10,60247.15256510,0.511251,153.325459
1.5346565,-59.0873949,49077b233-000336,14.012,0.057,10,56800.02138206,0.524071,322.246171
1.5345984,-59.0874166,48977b236-000304,13.923,0.052,10,56796.73123350,0.544537,308.132108
1.5350008,-59.0873799,82412a198-000407,14.143,0.065,10,57893.38389052,0.564930,33.997470
1.5350509,-59.0876264,50656r195-000573,14.282,0.081,10,60084.33507425,0.585234,135.727240
1.5345166,-59.0874872,55679r054-000396,14.395,0.077,10,60247.08787743,0.585395,278.060081
1.5351395,-59.0874751,71192a203-000367,14.246,0.090,10,57525.92787690,0.586024,77.620138
1.5347056,-59.0876644,22059r057-000354,14.084,0.057,10,59151.12361755,0.601575,202.485084
1.5351701,-59.0876248,82320a201-000355,14.142,0.068,10,57890.37222122,0.752614,123.307308
1.5347439,-59.0872967,49064a207-000296,13.901,0.049,10,56799.56067429,0.784216,348.284552
1.5353649,-59.0874697,50628r196-000650,14.922,0.126,10,60083.42626369,0.999837,81.656957
1.5343317,-59.0877424,55671r055-000474,12.472,0.041,10,60246.82899943,1.244688,227.765106
