ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
29.3084598,-61.5938727,82790a241-000157,12.658,0.026,10,57905.76012036,0.127988,110.930428
29.3084507,-61.5938392,33729r013-000163,12.658,0.026,10,59532.53445059,0.128099,54.234128
29.3084083,-61.5938255,28660r216-000154,12.616,0.025,10,59366.91921132,0.128099,14.162247
29.3084599,-61.5938472,28640r215-000148,12.634,0.029,10,59366.26558624,0.128283,68.946777
29.3083896,-61.5938243,28598r241-000163,12.616,0.025,10,59364.89313851,0.128504,359.694606
29.3084652,-61.5938582,82814a242-000143,12.604,0.026,10,57906.54579529,0.128944,87.119578
29.3084096,-61.5938252,54869a023-000138,12.610,0.028,10,56990.44830975,0.129711,14.999172
29.3084024,-61.5938959,22501r012-000155,12.717,0.028,10,59165.57353944,0.130979,170.668836
29.3084127,-61.5938252,93920a216-000148,12.705,0.026,10,58270.03538999,0.131160,17.239690
29.3084592,-61.5938760,82804a216-000861,12.654,0.027,10,57906.21840960,0.131770,115.921220
29.3084402,-61.5938320,71701b244-000165,12.591,0.027,10,57542.63753110,0.132485,40.460739
29.3084538,-61.5938385,11355r037-000158,12.670,0.026,10,58801.10449394,0.133904,54.686952
29.3084291,-61.5938269,60508a225-000146,12.564,0.025,10,57175.63929380,0.136697,29.333902
29.3084169,-61.5938958,54985a027-000132,12.589,0.024,10,56994.26068767,0.136869,160.330427
29.3084506,-61.5938849,28622r241-000164,12.594,0.025,10,59365.67741220,0.137145,130.818110
29.3084473,-61.5938868,76862a043-000139,12.603,0.030,10,57711.66433248,0.137627,134.513915
29.3083114,-61.5938516,93914a241-000157,12.695,0.028,10,58269.83903499,0.137969,282.661267
29.3084050,-61.5938977,11349r013-000537,12.727,0.029,10,58800.90826626,0.138140,169.281983
29.3084296,-61.5938936,17465s242-000151,12.796,0.027,10,59000.96948120,0.138686,150.722068
29.3083307,-61.5938336,93960a216-000147,12.627,0.028,10,58271.34416832,0.139095,313.101532
29.3084712,-61.5938572,49492a226-000158,12.603,0.032,10,56813.64396747,0.139434,85.854165
29.3083496,-61.5938263,60489b250-000143,12.609,0.027,10,57175.04870161,0.139671,330.303964
29.3083098,-61.5938521,71697b244-000148,12.601,0.026,10,57542.50650042,0.140278,281.698483
29.3083184,-61.5938797,82828a222-000182,12.620,0.027,10,57907.00408439,0.141652,239.956307
29.3084694,-61.5938488,33721r014-000233,12.668,0.026,10,59532.27315318,0.141819,73.484127
29.3084032,-61.5938211,06344r215-000178,12.732,0.027,10,58637.23194794,0.141852,9.169953
29.3084554,-61.5938356,28734r240-000162,12.603,0.029,10,59369.33799416,0.142350,51.894241
29.3083144,-61.5938771,71680a219-000124,12.579,0.032,10,57541.91679826,0.143375,244.570215
29.3083091,-61.5938495,33633r012-000144,12.638,0.027,10,59529.39837168,0.143606,285.260513
29.3084526,-61.5938332,82792a217-000149,12.669,0.030,10,57905.82569940,0.144229,48.014931
29.3084404,-61.5938277,44865r013-000386,12.576,0.034,10,59895.93159694,0.144818,36.586445
29.3084636,-61.5938398,28630r241-000145,12.636,0.026,10,59365.93883737,0.145534,60.018080
29.3084058,-61.5938999,98907a037-000167,12.640,0.033,10,58433.17910148,0.146181,169.331672
29.3084045,-61.5939006,06354r240-000153,12.753,0.030,10,58637.55907866,0.148267,170.357566
29.3084534,-61.5938317,28732r216-000150,12.681,0.026,10,59369.27266980,0.148902,46.822907
29.3084449,-61.5938921,22465r013-000158,12.713,0.027,10,59164.39655556,0.148966,140.867824
29.3083743,-61.5938193,65941a023-000167,12.591,0.026,10,57353.80985669,0.148966,349.601441
29.3083159,-61.5938383,17516r216-000155,12.719,0.033,10,59002.60437208,0.149029,301.615993
29.3084351,-61.5938242,44863r037-000246,12.666,0.027,10,59895.86652727,0.150260,30.934248
29.3084639,-61.5938368,44857r013-000155,12.666,0.030,10,59895.67093615,0.151637,56.578288
29.3083889,-61.5938174,93948a216-000176,12.699,0.027,10,58270.95145837,0.153372,359.296224
29.3083346,-61.5938255,49496a226-000133,12.621,0.028,10,56813.77563461,0.156300,322.623485
29.3082985,-61.5938641,17482r241-000143,12.763,0.030,10,59001.49271228,0.157384,264.619047
29.3083053,-61.5938773,71692a220-000209,12.598,0.027,10,57542.31001758,0.157864,246.763632
29.3083339,-61.5938951,51038r239-000160,12.618,0.026,10,60096.73486483,0.158729,217.247008
29.3083629,-61.5939024,11327r038-000179,12.684,0.030,10,58800.18880730,0.159531,196.912181
29.3082982,-61.5938677,51066r240-000137,12.723,0.031,10,60097.64354812,0.159649,260.000426
29.3083447,-61.5938210,82818a242-000209,12.572,0.028,10,57906.67682601,0.160416,331.076448
29.3083517,-61.5938191,65898a047-000144,12.576,0.027,10,57352.43269260,0.161180,335.988087
29.3083209,-61.5938295,28602r240-000147,12.698,0.028,10,59365.02378711,0.161444,312.856261
29.3084859,-61.5938578,49481b251-000135,12.578,0.030,10,56813.31505373,0.164430,87.239208
29.3084330,-61.5939009,49469b250-000134,12.649,0.028,10,56812.92017964,0.164631,153.428377
29.3084808,-61.5938751,87897a015-000599,12.684,0.026,10,58072.90877808,0.164717,109.268424
29.3082997,-61.5938770,44883r037-000153,12.615,0.025,10,59896.51811623,0.166315,248.409213
29.3083628,-61.5938153,51074r240-000138,12.613,0.028,10,60097.90319071,0.167532,343.855557
29.3084873,-61.5938666,33705r013-000155,12.647,0.031,10,59531.75030363,0.168319,98.114998
29.3084211,-61.5939048,71669b244-000197,12.671,0.026,10,57541.58928530,0.169856,161.724630
29.3083124,-61.5938304,28752r215-000162,12.650,0.026,10,59369.92616757,0.170355,308.723488
29.3084417,-61.5939006,82798a242-000145,12.654,0.026,10,57906.02205447,0.170881,148.793420
29.3084867,-61.5938720,28736r215-000142,12.765,0.029,10,59369.40331840,0.171158,104.620318
29.3084848,-61.5938757,82778a242-000166,12.594,0.032,10,57905.36740704,0.171901,109.194580
29.3082956,-61.5938763,60501b250-000131,12.545,0.029,10,57175.44242972,0.171983,250.050793
29.3083246,-61.5938232,93938a241-000156,12.718,0.030,10,58270.62432738,0.173487,319.787625
29.3084920,-61.5938638,39886r240-000193,12.589,0.033,10,59733.60489345,0.175221,94.477906
29.3084836,-61.5938801,49484a226-000150,12.580,0.028,10,56813.38076000,0.175867,114.294892
